site;lat;lon;year;month;tmean;prec
b1;50,07;10,44;1920;11;0,1;14
b1;50,07;10,44;1920;12;0,5;45
b1;50,07;10,44;1921;1;3,9;68
b1;50,07;10,44;1921;2;0,9;7
b1;50,07;10,44;1921;3;4,4;12
b1;50,07;10,44;1921;4;7,2;18
b1;50,07;10,44;1921;5;13,7;81
b1;50,07;10,44;1921;6;14,5;47
b1;50,07;10,44;1921;7;18,8;19
b1;50,07;10,44;1921;8;16,8;78
b1;50,07;10,44;1921;9;12,8;22
b1;50,07;10,44;1921;10;10,1;38
b1;50,07;10,44;1921;11;-0,8;24
b1;50,07;10,44;1921;12;-0,4;37
b1;50,07;10,44;1922;1;-3,2;58
b1;50,07;10,44;1922;2;-2;60
b1;50,07;10,44;1922;3;3,1;54
b1;50,07;10,44;1922;4;5,2;89
b1;50,07;10,44;1922;5;13,2;23
b1;50,07;10,44;1922;6;15,7;62
b1;50,07;10,44;1922;7;15,2;58
b1;50,07;10,44;1922;8;14,9;125
b1;50,07;10,44;1922;9;10,7;83
b1;50,07;10,44;1922;10;4,7;73
b1;50,07;10,44;1922;11;1,9;59
b1;50,07;10,44;1922;12;1,5;90
b1;50,07;10,44;1923;1;0,8;54
b1;50,07;10,44;1923;2;1,2;42
b1;50,07;10,44;1923;3;4,9;30
b1;50,07;10,44;1923;4;6,7;34
b1;50,07;10,44;1923;5;11,6;70
b1;50,07;10,44;1923;6;11,1;66
b1;50,07;10,44;1923;7;18,3;69
b1;50,07;10,44;1923;8;15,3;53
b1;50,07;10,44;1923;9;12,6;41
b1;50,07;10,44;1923;10;9,7;174
b1;50,07;10,44;1923;11;2,5;59
b1;50,07;10,44;1923;12;-2,1;53
b1;50,07;10,44;1924;1;-4,7;24
b1;50,07;10,44;1924;2;-2,8;23
b1;50,07;10,44;1924;3;2,2;45
b1;50,07;10,44;1924;4;6,5;43
b1;50,07;10,44;1924;5;13,6;82
b1;50,07;10,44;1924;6;14,9;66
b1;50,07;10,44;1924;7;16,5;61
b1;50,07;10,44;1924;8;13,8;157
b1;50,07;10,44;1924;9;12,8;87
b1;50,07;10,44;1924;10;8,7;30
b1;50,07;10,44;1924;11;2;90
b1;50,07;10,44;1924;12;0,1;27
b1;50,07;10,44;1925;1;1,6;53
b1;50,07;10,44;1925;2;3,3;27
b1;50,07;10,44;1925;3;0,9;38
b1;50,07;10,44;1925;4;8,1;64
b1;50,07;10,44;1925;5;13,4;21
b1;50,07;10,44;1925;6;15;28
b1;50,07;10,44;1925;7;17,1;59
b1;50,07;10,44;1925;8;16;82
b1;50,07;10,44;1925;9;10,4;101
b1;50,07;10,44;1925;10;8;39
b1;50,07;10,44;1925;11;1,6;41
b1;50,07;10,44;1925;12;-1,3;94
b1;50,07;10,44;1926;1;-0,3;57
b1;50,07;10,44;1926;2;4,8;60
b1;50,07;10,44;1926;3;3,7;38
b1;50,07;10,44;1926;4;9,4;29
b1;50,07;10,44;1926;5;10,5;56
b1;50,07;10,44;1926;6;13,5;55
b1;50,07;10,44;1926;7;16,7;152
b1;50,07;10,44;1926;8;15,4;62
b1;50,07;10,44;1926;9;14,2;10
b1;50,07;10,44;1926;10;7,6;109
b1;50,07;10,44;1926;11;5,4;38
b1;50,07;10,44;1926;12;-0,3;30
b1;50,07;10,44;1927;1;1,3;62
b1;50,07;10,44;1927;2;0,8;36
b1;50,07;10,44;1927;3;5,3;54
b1;50,07;10,44;1927;4;7;95
b1;50,07;10,44;1927;5;11,3;29
b1;50,07;10,44;1927;6;14,4;74
b1;50,07;10,44;1927;7;16,5;69
b1;50,07;10,44;1927;8;15,9;101
b1;50,07;10,44;1927;9;13,1;87
b1;50,07;10,44;1927;10;7,9;26
b1;50,07;10,44;1927;11;2,6;86
b1;50,07;10,44;1927;12;-2,7;38
b1;50,07;10,44;1928;1;1,2;50
b1;50,07;10,44;1928;2;2,2;66
b1;50,07;10,44;1928;3;2,8;28
b1;50,07;10,44;1928;4;7,2;86
b1;50,07;10,44;1928;5;10;60
b1;50,07;10,44;1928;6;14,1;43
b1;50,07;10,44;1928;7;18,5;24
b1;50,07;10,44;1928;8;16;86
b1;50,07;10,44;1928;9;12,1;31
b1;50,07;10,44;1928;10;8;60
b1;50,07;10,44;1928;11;5,6;66
b1;50,07;10,44;1928;12;-0,8;50
b1;50,07;10,44;1929;1;-5,7;18
b1;50,07;10,44;1929;2;-9,8;35
b1;50,07;10,44;1929;3;2,5;8
b1;50,07;10,44;1929;4;4,3;41
b1;50,07;10,44;1929;5;13,2;38
b1;50,07;10,44;1929;6;14,6;63
b1;50,07;10,44;1929;7;17,6;68
b1;50,07;10,44;1929;8;17;33
b1;50,07;10,44;1929;9;15,5;40
b1;50,07;10,44;1929;10;9,5;82
b1;50,07;10,44;1929;11;4;31
b1;50,07;10,44;1929;12;3;86
b1;50,07;10,44;1930;1;1,2;25
b1;50,07;10,44;1930;2;-0,3;15
b1;50,07;10,44;1930;3;4,3;37
b1;50,07;10,44;1930;4;8;97
b1;50,07;10,44;1930;5;11,5;83
b1;50,07;10,44;1930;6;18,5;50
b1;50,07;10,44;1930;7;16,1;92
b1;50,07;10,44;1930;8;15,4;116
b1;50,07;10,44;1930;9;12,7;86
b1;50,07;10,44;1930;10;7,9;144
b1;50,07;10,44;1930;11;5,7;139
b1;50,07;10,44;1930;12;0;40
b1;50,07;10,44;1931;1;-0,4;58
